gene_id	chr	strand	transcript_id
ACAD9	NC_000003.12	+	['NM_014049.5 (MANE)', 'NM_001410805.1', 'XM_024453484.2']
ACADL	NC_000002.12	-	['NM_001608.4 (MANE)', 'XM_005246517.5', 'XM_047444103.1']
ACADM	NC_000001.11	+	['NM_000016.6 (MANE)', 'NM_001127328.3', 'NM_001286042.2', 'NM_001286043.2', 'NM_001286044.2']
ACADS	NC_000012.12	+	['NM_000017.4 (MANE)', 'NM_001302554.2']
ACADSB	NC_000010.11	+	['NM_001609.4 (MANE)', 'NM_001330174.3']
ACADVL	NC_000017.11	+	['NM_000018.4 (MANE)', 'NM_001033859.3', 'NM_001270447.2', 'NM_001270448.2', 'XM_006721516.4', 'XM_011523829.3', 'XM_011523830.3', 'XM_047435931.1', 'XM_047435932.1']
ACAN	NC_000015.10	+	['NM_001369268.1 (MANE)', 'NM_001135.4', 'NM_001411096.1', 'NM_001411097.1', 'NM_013227.4', 'XM_047432214.1', 'XM_047432215.1', 'XM_047432216.1', 'XM_047432217.1']
ACAP1	NC_000017.11	+	['NM_014716.4 (MANE)', 'XM_047437150.1', 'XM_047437151.1', 'XM_047437152.1']
ACAP2	NC_000003.12	-	['NM_012287.6 (MANE)', 'XM_006713557.4', 'XM_011512602.3', 'XM_011512603.3', 'XM_017006046.2', 'XM_017006047.2', 'XM_017006048.2', 'XM_017006049.2', 'XM_047447834.1', 'XM_047447835.1', 'XM_047447836.1', 'XM_047447837.1', 'XM_047447838.1']
ACAP3	NC_000001.11	-	['NM_030649.3 (MANE)', 'XM_005244715.3', 'XM_005244717.4', 'XM_011540606.3', 'XM_011540607.2', 'XM_011540608.3', 'XM_011540609.3', 'XM_024452993.2']
ACAT1	NC_000011.10	+	['NM_000019.4 (MANE)', 'NM_001386677.1', 'NM_001386678.1', 'NM_001386679.1', 'NM_001386681.1', 'NM_001386682.1', 'NM_001386685.1', 'NM_001386686.1', 'NM_001386687.1', 'NM_001386688.1', 'NM_001386689.1', 'NM_001386690.1', 'NM_001386691.1']
ACAT2	NC_000006.12	+	['NM_005891.3 (MANE)', 'NM_001303253.1']
ACBD3	NC_000001.11	-	['NM_022735.4 (MANE)']
ACBD4	NC_000017.11	+	['NM_001135705.3 (MANE)', 'NM_001135706.3', 'NM_001135707.3', 'NM_001321352.2', 'NM_001321353.2', 'NM_001378111.1', 'NM_001378112.1', 'NM_001411125.1', 'NM_024722.4', 'XM_006722085.3', 'XM_011525259.3', 'XM_011525261.3', 'XM_017025084.2', 'XM_017025087.2', 'XM_017025088.2', 'XM_017025089.3', 'XM_017025090.2', 'XM_017025092.3', 'XM_017025093.2', 'XM_017025095.2', 'XM_017025096.2', 'XM_017025097.2', 'XM_017025099.2', 'XM_017025100.2', 'XM_017025101.3', 'XM_047436760.1', 'XM_047436761.1', 'XM_047436762.1', 'XM_047436763.1', 'XM_047436764.1', 'XM_047436765.1', 'XM_047436766.1', 'XM_047436767.1', 'XM_047436768.1', 'XM_047436769.1', 'XM_047436770.1', 'XM_047436772.1']
ACBD5	NC_000010.11	-	['NM_145698.5 (MANE)', 'NM_001042473.4', 'NM_001271512.3', 'NM_001301251.2', 'NM_001301252.2', 'NM_001301253.2', 'NM_001301254.2', 'NM_001352568.1', 'NM_001352569.1', 'NM_001352570.1', 'NM_001352571.1', 'NM_001352572.1', 'NM_001352573.1', 'NM_001352574.2', 'NM_001352575.2', 'NM_001352576.2', 'NM_001352577.2', 'NM_001352578.2', 'NM_001352579.2', 'NM_001352580.2', 'NM_001352581.1', 'NM_001352582.2', 'NM_001352583.1', 'NM_001352584.1', 'NM_001352585.1', 'NM_001352586.1', 'NM_001352587.1', 'NM_001352588.1', 'XM_017016884.3', 'XM_017016885.3', 'XM_017016887.3', 'XM_017016888.3', 'XM_017016889.3', 'XM_017016890.3', 'XM_017016893.3', 'XM_017016894.3', 'XM_017016895.3', 'XM_017016896.2', 'XM_017016898.3', 'XM_024448248.2', 'XM_024448249.2', 'XM_047425993.1', 'XM_047425994.1', 'XM_047425995.1', 'XM_047425996.1']
ACBD6	NC_000001.11	-	['NM_032360.4 (MANE)', 'XM_047432080.1', 'XM_047432081.1', 'XM_047432082.1', 'XM_047432083.1', 'XM_047432084.1', 'XM_047432085.1']
ACBD7	NC_000010.11	-	['NM_001039844.3 (MANE)']
ACCS	NC_000011.10	+	['NM_032592.4 (MANE)', 'NM_001127219.2', 'XM_005253170.4', 'XM_005253172.2', 'XM_006718348.3', 'XM_011520406.3', 'XM_011520407.1', 'XM_017018421.2', 'XM_024448718.2', 'XM_024448719.2', 'XM_047427717.1', 'XM_047427718.1', 'XM_047427719.1']
ACCSL	NC_000011.10	+	['NM_001031854.2 (MANE)', 'NM_001363113.1', 'XM_047426927.1']
ACD	NC_000016.10	-	['NM_001082486.2 (MANE)', 'NM_001410884.1', 'NM_022914.3']
ACE	NC_000017.11	+	['NM_000789.4 (MANE)', 'NM_001178057.2', 'NM_001382700.1', 'NM_001382701.1', 'NM_001382702.1', 'NM_152830.3', 'XM_006721737.4']
ACE2	NC_000023.11	-	['NM_001371415.1 (MANE)', 'NM_001386259.1', 'NM_001386260.1', 'NM_001388452.1', 'NM_001389402.1', 'NM_021804.3']
ACER1	NC_000019.10	-	['NM_133492.3 (MANE)', 'XM_011527673.3']
ACER2	NC_000009.12	+	['NM_001010887.3 (MANE)', 'XM_011517858.2', 'XM_011517859.3', 'XM_017014694.2', 'XM_047423335.1', 'XM_047423336.1']
ACER3	NC_000011.10	+	['NM_018367.7 (MANE)', 'NM_001300953.2', 'NM_001300954.2', 'NM_001300955.2', 'XM_011545151.3', 'XM_011545152.3', 'XM_017017987.2', 'XM_047427235.1']
ACHE	NC_000007.14	-	['NM_000665.5 (MANE)', 'NM_001282449.2', 'NM_001302621.3', 'NM_001302622.2', 'NM_001367915.1', 'NM_001367917.1', 'NM_001367918.1', 'NM_001367919.2']
ACIN1	NC_000014.9	-	['NM_001386863.1 (MANE)', 'NM_001164814.2', 'NM_001164815.2', 'NM_001164816.2', 'NM_001164817.2', 'NM_014977.4', 'XM_005267415.5', 'XM_005267416.5', 'XM_005267418.2', 'XM_006720081.5', 'XM_011536570.4', 'XM_024449512.2', 'XM_047431113.1', 'XM_047431114.1', 'XM_047431115.1', 'XM_047431116.1', 'XM_047431117.1', 'XM_047431118.1', 'XM_047431119.1', 'XM_047431120.1']
ACKR1	NC_000001.11	+	['NM_002036.4 (MANE)', 'NM_001122951.3']
ACKR2	NC_000003.12	+	['NM_001296.5 (MANE)']
ACKR3	NC_000002.12	+	['NM_020311.3 (MANE)', 'XM_005246097.4', 'XM_005246098.4', 'XM_047445135.1', 'XM_047445136.1']
ACKR4	NC_000003.12	+	['NM_016557.4 (MANE)', 'NM_178445.2']
ACLY	NC_000017.11	-	['NM_001096.3 (MANE)', 'NM_001303274.1', 'NM_001303275.1', 'NM_198830.2', 'XM_005257395.2']
ACMSD	NC_000002.12	+	['NM_138326.3 (MANE)', 'NM_001307983.2', 'XM_005263586.5', 'XM_005263588.5', 'XM_005263590.5', 'XM_011510592.3', 'XM_017003325.2', 'XM_017003326.2', 'XM_047443333.1']
ACO1	NC_000009.12	+	['NM_002197.3 (MANE)', 'NM_001278352.2', 'NM_001362840.2', 'XM_047423430.1']
ACO2	NC_000022.11	+	['NM_001098.3 (MANE)']
ACOD1	NC_000013.11	+	['NM_001258406.2 (MANE)', 'XM_047430581.1']
ACOT1	NC_000014.9	+	['NM_001037161.2 (MANE)', 'XM_017021589.2', 'XM_017021590.2']
ACOT11	NC_000001.11	+	['NM_147161.4 (MANE)', 'NM_015547.4']
ACOT12	NC_000005.10	-	['NM_130767.3 (MANE)', 'XM_006714532.3', 'XM_017009045.2', 'XM_017009046.2', 'XM_017009047.2', 'XM_017009048.2']
ACOT13	NC_000006.12	+	['NM_018473.4 (MANE)', 'NM_001160094.2']
ACOT2	NC_000014.9	+	['NM_006821.6 (MANE)', 'NM_001364177.1', 'NM_001364178.1']
ACOT4	NC_000014.9	+	['NM_152331.4 (MANE)']
ACOT6	NC_000014.9	+	['NM_001365788.1 (MANE)', 'NM_001037162.1', 'NM_001365789.1']
ACOT7	NC_000001.11	-	['NM_007274.4 (MANE)', 'NM_181864.3', 'NM_181865.3', 'NM_181866.3', 'XM_047443399.1']
ACOT8	NC_000020.11	-	['NM_005469.4 (MANE)', 'XM_005260239.4', 'XM_047439809.1', 'XM_047439810.1', 'XM_047439811.1']
ACOT9	NC_000023.11	-	['NM_001037171.2 (MANE)', 'NM_001033583.3', 'NM_001330259.2']
ACOX1	NC_000017.11	-	['NM_004035.7 (MANE)', 'NM_001185039.2', 'NM_007292.6', 'XM_047436182.1', 'XM_047436183.1']
ACOX2	NC_000003.12	-	['NM_003500.4 (MANE)', 'XM_005265505.2', 'XM_006713340.4', 'XM_047449042.1']
ACOX3	NC_000004.12	-	['NM_003501.3 (MANE)', 'NM_001101667.2', 'NM_001375783.1', 'NM_001375784.1', 'NM_001375785.1', 'NM_001375786.1', 'NM_001375787.1', 'NM_001375788.1', 'NM_001375789.1', 'NM_001375790.1', 'XM_011513565.3', 'XM_011513566.2', 'XM_024454237.2', 'XM_047416229.1', 'XM_047416230.1', 'XM_047416231.1', 'XM_047416233.1', 'XM_047416234.1']
ACOXL	NC_000002.12	+	['NM_001142807.4 (MANE)', 'NM_001365487.2', 'NM_001371254.1', 'XM_011511404.4', 'XM_011511405.4', 'XM_011511406.4', 'XM_011511407.4', 'XM_011511409.2', 'XM_011511411.4', 'XM_011511413.2', 'XM_011511414.4', 'XM_011511415.3', 'XM_011511419.3', 'XM_011511421.3', 'XM_011511422.2', 'XM_011511423.2', 'XM_011511427.3', 'XM_011511428.4', 'XM_011511429.3', 'XM_011511432.4', 'XM_011511434.4', 'XM_017004431.2', 'XM_017004432.3', 'XM_017004433.3', 'XM_017004434.3', 'XM_047444903.1', 'XM_047444904.1', 'XM_047444905.1', 'XM_047444906.1', 'XM_047444907.1', 'XM_047444908.1']
ACP1	NC_000002.12	+	['NM_004300.4 (MANE)', 'NM_001040649.3', 'NM_007099.4']
ACP2	NC_000011.10	-	['NM_001610.4 (MANE)', 'NM_001302489.2', 'NM_001302490.2', 'NM_001302491.2', 'NM_001302492.2', 'NM_001357016.2']
ACP3	NC_000003.12	+	['NM_001099.5 (MANE)', 'NM_001134194.2', 'NM_001292037.2', 'XM_011512946.2', 'XM_011512947.3']
ACP4	NC_000019.10	+	['NM_033068.3 (MANE)']
ACP5	NC_000019.10	-	['NM_001611.5 (MANE)', 'NM_001111034.3', 'NM_001111035.3', 'NM_001111036.3', 'NM_001322023.2', 'XM_005259938.2', 'XM_011528069.3', 'XM_047438944.1', 'XM_047438945.1']
ACP6	NC_000001.11	-	['NM_016361.5 (MANE)', 'NM_001323625.2', 'XM_011509601.4']
ACP7	NC_000019.10	+	['NM_001004318.3 (MANE)', 'NM_001363687.2', 'XM_011526966.4', 'XM_011526967.4', 'XM_011526969.3', 'XM_017026807.3', 'XM_047438824.1', 'XM_047438825.1', 'XM_047438826.1', 'XM_047438827.1', 'XM_047438828.1', 'XM_047438829.1']
ACR	NC_000022.11	+	['NM_001097.3 (MANE)']
ACRBP	NC_000012.12	-	['NM_032489.3 (MANE)']
ACRV1	NC_000011.10	-	['NM_001612.6 (MANE)', 'NM_020069.5', 'NM_020107.5', 'NM_020108.5']
ACSBG1	NC_000015.10	-	['NM_015162.5 (MANE)', 'NM_001199377.2', 'XM_011521390.4', 'XM_011521391.3', 'XM_017022025.3', 'XM_047432273.1']
ACSBG2	NC_000019.10	+	['NM_030924.5 (MANE)', 'NM_001289177.2', 'NM_001289178.2', 'NM_001289179.2', 'NM_001289180.2', 'NM_001321384.2', 'XM_005259653.4', 'XM_011528329.2', 'XM_017027332.3', 'XM_017027333.2', 'XM_047439477.1', 'XM_047439478.1']
ACSF2	NC_000017.11	+	['NM_025149.6 (MANE)', 'NM_001288968.2', 'NM_001288969.2', 'NM_001288970.2', 'NM_001288971.2', 'NM_001288972.2', 'XM_006722110.5', 'XM_011525294.3']
ACSF3	NC_000016.10	+	['NM_001243279.3 (MANE)', 'NM_001127214.4', 'NM_001284316.2', 'NM_174917.5']
ACSL1	NC_000004.12	-	['NM_001995.5 (MANE)', 'NM_001286708.2', 'NM_001286710.2', 'NM_001286711.2', 'NM_001381877.1', 'NM_001381878.1', 'NM_001381879.1', 'NM_001381880.1', 'NM_001381881.1', 'NM_001381882.1', 'NM_001381883.1', 'NM_001381884.1', 'NM_001381885.1', 'NM_001381886.1', 'NM_001381887.1', 'NM_001381888.1', 'NM_001381889.1', 'NM_001381890.1', 'XM_017007887.2', 'XM_047449819.1']
ACSL3	NC_000002.12	+	['NM_004457.5 (MANE)', 'NM_001354158.2', 'NM_001354159.2', 'NM_203372.3']
ACSL4	NC_000023.11	-	['NM_001318510.2 (MANE)', 'NM_001318509.2', 'NM_004458.3', 'NM_022977.3', 'XM_005262109.3', 'XM_006724635.3', 'XM_011530888.3', 'XM_011530889.3', 'XM_024452351.2', 'XM_047441918.1', 'XM_047441919.1']
ACSL5	NC_000010.11	+	['NM_203379.2 (MANE)', 'NM_001387037.1', 'NM_016234.4', 'NM_203380.2']
ACSL6	NC_000005.10	-	['NM_001009185.3 (MANE)', 'NM_001205247.2', 'NM_001205248.2', 'NM_001205250.1', 'NM_001205251.2', 'NM_001405475.1', 'NM_001405476.1', 'NM_001405477.1', 'NM_001405478.1', 'NM_001405479.1', 'NM_001405480.1', 'NM_001405481.1', 'NM_001405482.1', 'NM_001405483.1', 'NM_001405484.1', 'NM_001405485.1', 'NM_001405486.1', 'NM_001405487.1', 'NM_001405488.1', 'NM_001405489.1', 'NM_001405490.1', 'NM_015256.4']
ACSM1	NC_000016.10	-	['NM_001318890.3 (MANE)', 'NM_052956.3', 'XM_006721016.4', 'XM_006721017.4', 'XM_006721018.3', 'XM_011545729.4', 'XM_011545730.4', 'XM_011545731.3', 'XM_011545732.3', 'XM_017022914.3', 'XM_047433581.1', 'XM_047433582.1', 'XM_047433583.1', 'XM_047433584.1', 'XM_047433585.1']
ACSM2A	NC_000016.10	+	['NM_001308172.2 (MANE)', 'NM_001308169.2', 'NM_001308954.2', 'XM_017022923.2', 'XM_017022924.3', 'XM_017022925.2', 'XM_017022926.3', 'XM_047433591.1', 'XM_047433592.1']
ACSM2B	NC_000016.10	-	['NM_001105069.2 (MANE)', 'NM_001410902.1', 'NM_182617.4', 'XM_017023205.3', 'XM_047434056.1']
ACSM3	NC_000016.10	+	['NM_005622.4 (MANE)', 'NM_202000.3', 'XM_011545911.3', 'XM_017023523.3', 'XM_024450367.2', 'XM_024450368.2', 'XM_024450370.2', 'XM_047434419.1', 'XM_047434420.1', 'XM_047434421.1', 'XM_047434422.1', 'XM_047434423.1', 'XM_047434424.1', 'XM_047434425.1', 'XM_047434426.1', 'XM_047434427.1', 'XM_047434428.1', 'XM_047434429.1', 'XM_047434430.1', 'XM_047434431.1', 'XM_047434432.1', 'XM_047434433.1', 'XM_047434434.1', 'XM_047434435.1', 'XM_047434436.1', 'XM_047434437.1', 'XM_047434438.1', 'XM_047434439.1', 'XM_047434440.1', 'XM_047434441.1']
ACSM4	NC_000012.12	+	['NM_001080454.2 (MANE)']
ACSM5	NC_000016.10	+	['NM_017888.3 (MANE)', 'NM_001324371.2', 'NM_001324372.2', 'NM_001324373.2']
ACSM6	NC_000010.11	+	['NM_207321.3 (MANE)', 'XM_047424638.1', 'XM_047424639.1']
ACSS1	NC_000020.11	-	['NM_032501.4 (MANE)', 'NM_001252675.2', 'NM_001252676.2', 'NM_001252677.2', 'XM_006723659.2', 'XM_047440556.1', 'XM_047440557.1']
ACSS2	NC_000020.11	+	['NM_018677.4 (MANE)', 'NM_001076552.3', 'NM_001242393.2', 'XM_005260455.3', 'XM_005260456.3', 'XM_011528905.2', 'XM_011528906.2', 'XM_011528907.2', 'XM_011528908.2', 'XM_011528909.3', 'XM_011528911.2', 'XM_047440293.1', 'XM_047440294.1']
ACSS3	NC_000012.12	+	['NM_024560.4 (MANE)', 'NM_001330242.2', 'NM_001330243.2', 'XM_005269151.6', 'XM_047429549.1']
ACTA1	NC_000001.11	-	['NM_001100.4 (MANE)']
ACTA2	NC_000010.11	-	['NM_001613.4 (MANE)', 'NM_001141945.3', 'NM_001320855.2', 'NM_001406462.1', 'NM_001406463.1', 'NM_001406464.1', 'NM_001406466.1', 'NM_001406467.1', 'NM_001406468.1', 'NM_001406469.1', 'NM_001406471.1']
ACTB	NC_000007.14	-	['NM_001101.5 (MANE)']
ACTBL2	NC_000005.10	-	['NM_001017992.4 (MANE)']
ACTC1	NC_000015.10	-	['NM_005159.5 (MANE)', 'NM_001406482.1', 'NM_001406483.1', 'NM_001406484.1', 'NM_001406485.1', 'XM_047432979.1']
ACTG1	NC_000017.11	-	['NM_001614.5 (MANE)', 'NM_001199954.3']
ACTG2	NC_000002.12	+	['NM_001615.4 (MANE)', 'NM_001199893.2']
ACTL10	NC_000020.11	+	['NM_001024675.2 (MANE)']
ACTL6A	NC_000003.12	+	['NM_004301.5 (MANE)', 'NM_177989.4', 'NM_178042.4']
ACTL6B	NC_000007.14	-	['NM_016188.5 (MANE)']
ACTL7A	NC_000009.12	+	['NM_006687.4 (MANE)']
ACTL7B	NC_000009.12	-	['NM_006686.4 (MANE)']
ACTL8	NC_000001.11	+	['NM_030812.3 (MANE)', 'XM_011542212.3']
ACTL9	NC_000019.10	-	['NM_178525.5 (MANE)']
ACTMAP	NC_000019.10	-	['NM_198476.5 (MANE)', 'NM_001353805.2', 'NM_001353806.2', 'NM_001353807.2', 'NM_001353808.2', 'NM_001353809.2', 'XM_005258776.6', 'XM_006723152.4', 'XM_006723153.4', 'XM_011526774.4', 'XM_011526775.3', 'XM_011526776.4', 'XM_011526778.4', 'XM_011526779.4', 'XM_011526782.4', 'XM_011526783.4', 'XM_011526784.4', 'XM_011526785.4', 'XM_011526786.4', 'XM_017026622.3', 'XM_047438632.1', 'XM_047438633.1', 'XM_047438634.1', 'XM_047438635.1']
ACTN1	NC_000014.9	-	['NM_001130004.2 (MANE)', 'NM_001102.4', 'NM_001130005.2', 'NM_001411035.1', 'NM_001411036.1', 'NM_001424012.1', 'NM_001424013.1', 'NM_001424014.1', 'NM_001424015.1', 'NM_001424016.1', 'NM_001424017.1', 'NM_001424018.1', 'NM_001424019.1', 'NM_001424020.1', 'NM_001424021.1', 'NM_001424022.1', 'NM_001424023.1', 'NM_001424024.1', 'NM_001424025.1', 'NM_001424026.1', 'NM_001424027.1', 'NM_001424028.1', 'NM_001424029.1', 'NM_001424030.1']
ACTN2	NC_000001.11	+	['NM_001103.4 (MANE)', 'NM_001278343.2']
ACTN3	NC_000011.10	+	['NM_001104.4 (MANE)', 'NM_001258371.3']
ACTN4	NC_000019.10	+	['NM_004924.6 (MANE)', 'NM_001322033.2', 'NM_001411143.1', 'XM_005259281.6', 'XM_017027331.3']
ACTR10	NC_000014.9	+	['NM_018477.3 (MANE)', 'XM_011536960.2', 'XM_011536961.2', 'XM_047431587.1']
ACTR1A	NC_000010.11	-	['NM_005736.4 (MANE)', 'XM_047424427.1']
ACTR1B	NC_000002.12	-	['NM_005735.4 (MANE)', 'XM_005263854.6', 'XM_017003116.2']
ACTR2	NC_000002.12	+	['NM_005722.4 (MANE)', 'NM_001005386.3']
ACTR3	NC_000002.12	+	['NM_005721.5 (MANE)', 'NM_001277140.1']
ACTR3B	NC_000007.14	+	['NM_020445.6 (MANE)', 'NM_001040135.3', 'NM_001350940.2', 'NM_001350941.2', 'NM_001350942.2', 'NM_001350943.2', 'NM_001350944.2', 'NM_001350945.2', 'NM_001350946.2']
ACTR3C	NC_000007.14	-	['NM_001164458.2 (MANE)', 'NM_001164459.2', 'NM_001351027.2', 'NM_001351028.2', 'NM_001351029.2', 'NM_001351030.2', 'XM_005250043.5', 'XM_011516506.4', 'XM_011516507.3', 'XM_011516508.3', 'XM_011516511.4', 'XM_024446884.2', 'XM_047420748.1', 'XM_047420749.1', 'XM_047420750.1', 'XM_047420751.1']
ACTR5	NC_000020.11	+	['NM_024855.4 (MANE)']
ACTR6	NC_000012.12	+	['NM_022496.5 (MANE)']
ACTR8	NC_000003.12	-	['NM_022899.5 (MANE)', 'NM_001410774.1', 'XM_005265587.6', 'XM_047449238.1', 'XM_047449239.1']
ACTRT1	NC_000023.11	-	['NM_138289.4 (MANE)']
ACTRT2	NC_000001.11	+	['NM_080431.5 (MANE)']
ACTRT3	NC_000003.12	-	['NM_032487.5 (MANE)']
ACVR1	NC_000002.12	-	['NM_001111067.4 (MANE)', 'NM_001105.5', 'NM_001347663.1', 'NM_001347664.1', 'NM_001347665.1', 'NM_001347666.1', 'NM_001347667.2']
ACVR1B	NC_000012.12	+	['NM_004302.5 (MANE)', 'NM_001412774.1', 'NM_001412775.1', 'NM_001412776.1', 'NM_001412777.1', 'NM_001412778.1', 'NM_001412779.1', 'NM_001412780.1', 'NM_001412781.1', 'NM_001412782.1', 'NM_001412784.1', 'NM_001412785.1', 'NM_001412786.1', 'NM_020327.5', 'NM_020328.4', 'XM_011538967.4', 'XM_047429856.1', 'XM_047429857.1', 'XM_047429858.1']
ACVR1C	NC_000002.12	-	['NM_145259.3 (MANE)', 'NM_001111031.2', 'NM_001111032.2', 'NM_001111033.2']
ACVR2A	NC_000002.12	+	['NM_001616.5 (MANE)', 'NM_001278579.2', 'NM_001278580.2', 'XM_047446292.1']
ACVR2B	NC_000003.12	+	['NM_001106.4 (MANE)', 'XM_005265583.4', 'XM_017007514.2', 'XM_017007515.3', 'XM_017007516.2']
ACVRL1	NC_000012.12	+	['NM_000020.3 (MANE)', 'NM_001077401.2', 'NM_001406487.1', 'NM_001406488.1', 'NM_001406489.1', 'NM_001406490.1', 'NM_001406491.1', 'NM_001406492.1', 'NM_001406493.1', 'NM_001406494.1', 'NM_001406495.1', 'XM_047429901.1']
ACY1	NC_000003.12	+	['NM_000666.3 (MANE)', 'NM_001198895.2', 'NM_001198896.2', 'NM_001198897.2', 'NM_001198898.2']
ACY3	NC_000011.10	-	['NM_080658.2 (MANE)', 'XM_017018549.2', 'XM_017018550.2', 'XM_017018551.2', 'XM_047427868.1']
ACYP1	NC_000014.9	-	['NM_001107.5 (MANE)', 'NM_001302616.2', 'NM_001302617.2']
ACYP2	NC_000002.12	+	['NM_138448.4 (MANE)', 'NM_001320586.2', 'NM_001320587.2', 'NM_001320588.2', 'NM_001320589.2', 'NM_001320590.2']
ADA	NC_000020.11	-	['NM_000022.4 (MANE)', 'NM_001322050.2', 'NM_001322051.2']
ADA2	NC_000022.11	-	['NM_001282225.2 (MANE)', 'NM_001282226.2', 'NM_001282227.2', 'NM_001282228.2', 'NM_001282229.2', 'NM_177405.3', 'XM_011546133.3', 'XM_047441406.1', 'XM_047441407.1']
ADAD1	NC_000004.12	+	['NM_139243.4 (MANE)', 'NM_001159285.2', 'NM_001159295.2', 'XM_005262741.3', 'XM_005262743.4', 'XM_005262744.4', 'XM_005262745.4', 'XM_011531603.3', 'XM_024453888.1', 'XM_024453889.1']
ADAD2	NC_000016.10	+	['NM_001145400.2 (MANE)', 'NM_139174.4']
ADAM10	NC_000015.10	-	['NM_001110.4 (MANE)', 'NM_001320570.2']
ADAM11	NC_000017.11	+	['NM_002390.6 (MANE)', 'NM_001318933.2', 'XM_005257373.5', 'XM_047436083.1']
ADAM12	NC_000010.11	-	['NM_001288973.2 (MANE)', 'NM_001288974.2', 'NM_001288975.2', 'NM_003474.6', 'NM_021641.5', 'XM_017016706.2', 'XM_024448210.1']
ADAM15	NC_000001.11	+	['NM_207197.3 (MANE)', 'NM_001261464.2', 'NM_001261465.2', 'NM_001261466.2', 'NM_003815.5', 'NM_207191.3', 'NM_207194.3', 'NM_207195.3', 'NM_207196.3']
ADAM17	NC_000002.12	-	['NM_003183.6 (MANE)', 'NM_001382777.1', 'NM_001382778.1', 'XM_047445610.1', 'XM_047445611.1', 'XM_047445612.1']
ADAM18	NC_000008.11	+	['NM_014237.3 (MANE)', 'NM_001190956.2', 'NM_001320313.2']
ADAM19	NC_000005.10	-	['NM_033274.5 (MANE)', 'XM_047417858.1', 'XM_047417859.1']
ADAM2	NC_000008.11	-	['NM_001464.5 (MANE)', 'NM_001278113.2', 'NM_001278114.2', 'XM_005273468.1', 'XM_011544479.1', 'XM_011544480.1']
ADAM20	NC_000014.9	-	['NM_003814.5 (MANE)', 'XM_005268151.4']
ADAM21	NC_000014.9	+	['NM_003813.4 (MANE)']
ADAM22	NC_000007.14	+	['NM_001324418.2 (MANE)', 'NM_001324417.2', 'NM_001324419.2', 'NM_001324420.2', 'NM_001324421.2', 'NM_001391975.1', 'NM_001391976.1', 'NM_001391977.1', 'NM_001391978.1', 'NM_001391979.1', 'NM_001391980.1', 'NM_001391981.1', 'NM_001391982.1', 'NM_004194.5', 'NM_016351.6', 'NM_021721.5', 'NM_021722.6', 'NM_021723.5', 'XM_005250445.5', 'XM_006716028.5', 'XM_006716029.5', 'XM_011516318.3', 'XM_011516319.4', 'XM_011516320.4', 'XM_011516321.4', 'XM_011516322.3', 'XM_011516323.3', 'XM_011516324.3', 'XM_017012330.3', 'XM_017012332.3', 'XM_017012333.3', 'XM_017012335.3']
ADAM23	NC_000002.12	+	['NM_003812.4 (MANE)', 'NM_001410985.1', 'XM_005246932.4']
ADAM28	NC_000008.11	+	['NM_014265.6 (MANE)', 'NM_001304351.2', 'NM_021777.5', 'XM_005273380.5', 'XM_005273382.2', 'XM_006716273.4', 'XM_006716274.2', 'XM_011544367.4', 'XM_011544368.4', 'XM_011544369.3', 'XM_011544371.4', 'XM_017012974.3', 'XM_017012975.3', 'XM_047421270.1', 'XM_047421271.1', 'XM_047421272.1', 'XM_047421273.1', 'XM_047421274.1']
ADAM29	NC_000004.12	+	['NM_014269.4 (MANE)', 'NM_001130703.1', 'NM_001130704.1', 'NM_001130705.1', 'NM_001278125.1', 'NM_001278126.1', 'NM_001278127.1', 'XM_011531556.2', 'XM_011531557.2', 'XM_011531559.2', 'XM_011531560.2', 'XM_011531561.2']
ADAM30	NC_000001.11	-	['NM_021794.4 (MANE)']
ADAM32	NC_000008.11	+	['NM_145004.7 (MANE)', 'NM_001313994.1', 'XM_006716298.4', 'XM_006716299.3', 'XM_011544433.3', 'XM_011544434.3', 'XM_017013183.3', 'XM_017013184.3', 'XM_017013185.3', 'XM_017013186.3', 'XM_017013187.2', 'XM_017013188.2', 'XM_047421494.1']
ADAM33	NC_000020.11	-	['NM_025220.5 (MANE)', 'NM_001282447.3', 'NM_153202.4', 'XM_005260843.2', 'XM_006723640.2', 'XM_006723644.3', 'XM_011529366.2', 'XM_011529367.2', 'XM_011529370.2', 'XM_011529371.3', 'XM_017028080.3', 'XM_017028081.3', 'XM_017028082.2', 'XM_017028083.2', 'XM_047440514.1', 'XM_047440515.1', 'XM_047440516.1', 'XM_047440517.1']
ADAM7	NC_000008.11	+	['NM_003817.4 (MANE)']
ADAM8	NC_000010.11	-	['NM_001109.5 (MANE)', 'NM_001164489.2', 'NM_001164490.2', 'XM_047424423.1', 'XM_047424424.1', 'XM_047424425.1', 'XM_047424426.1']
ADAM9	NC_000008.11	+	['NM_003816.3 (MANE)', 'XM_011544682.3', 'XM_047422390.1']
ADAMDEC1	NC_000008.11	+	['NM_014479.3 (MANE)', 'NM_001145271.2', 'NM_001145272.2']
ADAMTS1	NC_000021.9	-	['NM_006988.5 (MANE)']
ADAMTS10	NC_000019.10	-	['NM_030957.4 (MANE)', 'NM_001282352.2', 'XM_017027338.3', 'XM_047439480.1', 'XM_047439481.1', 'XM_047439482.1', 'XM_047439483.1', 'XM_047439484.1']
